Year,work,timeMale,timeFemale,(avr)time
98,礦業及土石採取業,183.4,176.9,180.15
98,製造業,180.3,177.6,178.95
98,電力及燃氣供應業,172.9,168.8,170.85
98,用水供應及污染整治業,184.5,178.1,181.3
98,營造業,175.7,169.9,172.8
98,批發及零售業,176.4,175.4,175.9
98,運輸及倉儲業,183.6,172.7,178.15
98,住宿及餐飲業,170.6,169,169.8
98,資訊及通訊傳播業,169.4,168.5,168.95
98,金融及保險業,168.5,167.7,168.1
98,不動產業,183.8,179.7,181.75
98,專業、科學及技術服務業,174.5,173.1,173.8
98,支援服務業,196.9,177.9,187.4
98,教育服務業,138.5,141.9,140.2
98,醫療保健服務業,173.3,173.7,173.5
98,藝術、娛樂及休閒服務業,183.2,184.9,184.05
98,其他服務業,184.6,202.1,193.35
99,礦業及土石採取業,187,177.2,182.1
99,製造業,190.5,186.7,188.6
99,電力及燃氣供應業,173.7,170.1,171.9
99,用水供應及污染整治業,184.5,176.1,180.3
99,營造業,177.9,172.8,175.35
99,批發及零售業,176.5,176,176.25
99,運輸及倉儲業,185.1,173.2,179.15
99,住宿及餐飲業,173.1,170.7,171.9
99,資訊及通訊傳播業,170.5,169.4,169.95
99,金融及保險業,169.2,168.6,168.9
99,不動產業,182.3,178.3,180.3
99,專業、科學及技術服務業,176.1,173.6,174.85
99,支援服務業,201.9,182.6,192.25
99,教育服務業,137.9,139.5,138.7
99,醫療保健服務業,175,175,175
99,藝術、娛樂及休閒服務業,180.2,181.9,181.05
99,其他服務業,186.6,202,194.3
100,礦業及土石採取業,182.4,177.7,180.05
100,製造業,187.2,182.2,184.7
100,電力及燃氣供應業,171.1,167.8,169.45
100,用水供應及污染整治業,180.1,174.1,177.1
100,營造業,178.7,175.5,177.1
100,批發及零售業,174.6,173.5,174.05
100,運輸及倉儲業,182.6,171.4,177
100,住宿及餐飲業,168.5,169.4,168.95
100,資訊及通訊傳播業,168.4,167.6,168
100,金融及保險業,166.4,165.6,166
100,不動產業,182.6,176.1,179.35
100,專業、科學及技術服務業,174.9,170.6,172.75
100,支援服務業,202.8,181.9,192.35
100,教育服務業,131.9,136.5,134.2
100,醫療保健服務業,173.4,174,173.7
100,藝術、娛樂及休閒服務業,181.3,182.8,182.05
100,其他服務業,188.8,202.3,195.55
101,礦業及土石採取業,183.6,179.3,181.45
101,製造業,185.6,181.5,183.55
101,電力及燃氣供應業,177.6,169.6,173.6
101,用水供應及污染整治業,179.7,175.5,177.6
101,營造業,178.8,173.2,176
101,批發及零售業,174.3,172.3,173.3
101,運輸及倉儲業,184.9,172.6,178.75
101,住宿及餐飲業,169.6,172.3,170.95
101,資訊及通訊傳播業,168.8,168.4,168.6
101,金融及保險業,168.1,167.1,167.6
101,不動產業,182.5,178.5,180.5
101,專業、科學及技術服務業,174.9,172.2,173.55
101,支援服務業,203.6,180.9,192.25
101,教育服務業,122.1,136.6,129.35
101,醫療保健服務業,170.4,175.8,173.1
101,藝術、娛樂及休閒服務業,183.3,182.8,183.05
101,其他服務業,191,200.7,195.85
102,礦業及土石採取業,182.6,177.3,179.95
102,製造業,185.5,181.5,183.5
102,電力及燃氣供應業,175.8,167,171.4
102,用水供應及污染整治業,180.3,175,177.65
102,營造業,175.5,171.3,173.4
102,批發及零售業,172.9,170.3,171.6
102,運輸及倉儲業,182.6,171,176.8
102,住宿及餐飲業,168.8,170.6,169.7
102,資訊及通訊傳播業,166.7,166,166.35
102,金融及保險業,164.4,164.7,164.55
102,不動產業,182.1,177,179.55
102,專業、科學及技術服務業,174.4,169.2,171.8
102,支援服務業,200.7,175.4,188.05
102,教育服務業,119.9,137,128.45
102,醫療保健服務業,170.1,174,172.05
102,藝術、娛樂及休閒服務業,179,182.5,180.75
102,其他服務業,190,199.7,194.85
103,礦業及土石採取業,181.9,176.5,179.2
103,製造業,186.1,182.8,184.45
103,電力及燃氣供應業,177.2,168.3,172.75
103,用水供應及污染整治業,180.7,175,177.85
103,營造業,176.7,172.8,174.75
103,批發及零售業,173.8,172.2,173
103,運輸及倉儲業,182.8,172.3,177.55
103,住宿及餐飲業,169.5,168.9,169.2
103,資訊及通訊傳播業,166.9,165.4,166.15
103,金融及保險業,165.9,165.5,165.7
103,不動產業,182,177.5,179.75
103,專業、科學及技術服務業,176.2,170.9,173.55
103,支援服務業,201.8,176.2,189
103,教育服務業,124.5,139,131.75
103,醫療保健服務業,172.1,172.9,172.5
103,藝術、娛樂及休閒服務業,178.6,178.6,178.6
103,其他服務業,188.4,196.6,192.5
104,礦業及土石採取業,178.6,175.5,177.05
104,製造業,183.4,179.6,181.5
104,電力及燃氣供應業,176.2,166.8,171.5
104,用水供應及污染整治業,177.1,170.3,173.7
104,營造業,172.8,168.9,170.85
104,批發及零售業,171.6,170.2,170.9
104,運輸及倉儲業,181.3,171.1,176.2
104,住宿及餐飲業,168.6,166.1,167.35
104,資訊及通訊傳播業,166,164.2,165.1
104,金融及保險業,162.4,162.4,162.4
104,不動產業,178.6,175.8,177.2
104,專業、科學及技術服務業,172.3,168.6,170.45
104,支援服務業,198.6,174.4,186.5
104,教育服務業,124.1,136.8,130.45
104,醫療保健服務業,171.1,172.5,171.8
104,藝術、娛樂及休閒服務業,178.7,176.6,177.65
104,其他服務業,185,192.7,188.85
